age_group,session,trialnum,phrase,
24,B,1,See the apple?  Do you see  it?,
24,B,2,Where's the doggy Can you see it?,
24,B,3,Show me the juice. Do you like it?,
24,B,4,Take the book. Check that out!,
24,B,5,Where's  the birdie? Can you find it?,
24,B,6,There's a kitty on the deebo.,
24,B,7,That's a doggie over there.
24,B,8,Which is the blue ball?  Do you like it?
24,B,9,Drive the car. Check that out!
24,B,10,That's  a birdie over there.
24,B,11,Where's the baby? Can you see it?
24,B,12,There's a kitty on  the deebo.
24,B,13,Where's the deebo? Can you see the deebo?
24,B,14,Which is the blue shoe?  Can you find it?
24,B,15,Give me the cookie. Do you like it?
24,B,16,Drink the juice. Do you like it?
24,B,17,That's  a birdie on the deebo.
24,B,18,There's a baby over there.
24,B,19,Which is the red ball?
24,B,20,There's a kitty over there.
24,B,21,That's a doggie on the deebo.
24,B,22,Read the book. Check that out!
24,B,23,Where's the kitty? Can you find it?
24,B,24,There's a baby on the deebo.
24,B,25,There's a kitty over there.
24,B,26,Where's the deebo? Can you see the deebo?
24,B,27,Which is the red shoe?  Do you like it?
24,B,28,Where's the deebo? Can you see the deebo?
24,B,29,Where's the doggy?  Can you see it?
24,B,30,Where's the deebo? Can you see the deebo?
24,B,31,Look at the car.  Check that out!
24,B,32,Which is the red shoe?  Do you like it?
24,B,33,Eat the cookie. Do you like it?
24,B,34,Where's the baby? Can you see it?
24,B,35,Where's the kitty? Can you find it?
24,B,36,Which is the blue ball?  Do you like it?
24,B,37,Where's the doggy? Can you see it?
24,B,38,Where's the birdy?  Can you find it?
24,B,39,Where's the baby?  Can you see it?
24,A,1,See the apple?  Do you see it?
24,A,2,Where's the doggy? Can you see it?
24,A,3,Show me the juice. Do you like it?
24,A,4,Take the book. Check that out!
24,A,5,Where's  the birdie? Can you find it?
24,A,6,Which is the red ball?  Check that out!
24,A,7,Where's the baby? Can you see it?
24,A,8,Give me the cookie. Do you like it?
24,A,9,Where's the kitty? Can you find it?
24,A,10,Look at the car.  Check that out!
